step,time,energy,E_over_E0
0,0,2.466656848314646,1
10,0.25,2.18193420195299,0.8845714406703168
20,0.5,1.930076916757842,0.7824667294425549
30,0.75,1.707291127879235,0.6921478068770485
40,1,1.51022115752409,0.6122542576426693
50,1.25,1.335898668592604,0.5415826970441238
60,1.5,1.181697954538952,0.4790686452176565
70,1.75,1.045296390056873,0.4237704935613871
80,2,0.9246394468815685,0.3748553218958414
90,2.25,0.8179097477634638,0.3315863527277027
100,2.5,0.7234996924938633,0.2933118536484706
110,2.75,0.6399872436660384,0.2594553207120449
120,3,0.5661145074484395,0.2295067949298418
130,3.25,0.5007687867460517,0.2030151810894183
140,3.5,0.4429658213660154,0.1795814531999754
150,3.75,0.3918349627449437,0.158852644222753
160,4,0.34660605993452,0.1405165295575427
170,4.25,0.306597859317449,0.1242969242061105
180,4.5,0.2712077433262471,0.1099495227767701
190,4.75,0.2399026536058063,0.09725821967077453
200,5,0.2122110619012613,0.08603185402390097
210,5.25,0.1877158677338246,0.07610133037438194
220,5.5,0.1660481158869006,0.06731707168767868
230,5.75,0.1468814390730451,0.05954676637465907
240,6,0.1299271420752728,0.05267337536797873
250,6.25,0.1149298533183157,0.0465933692385473
260,6.5,0.1016636783722756,0.04121516879891003
270,6.75,0.0899287974513968,0.03645776570536798
280,7,0.07954845565827745,0.03224950228185541
290,7.25,0.07036630063953611,0.02852699218685979
300,7.5,0.06224402755175765,0.02523416566608612
310,7.75,0.05505929586537233,0.0223214250101273
320,8,0.04870388662863781,0.01974489749634812
330,8.25,0.04308207243578351,0.01746577456252965
340,8.5,0.03810917554720843,0.01544972725867673
350,8.75,0.03371029244363082,0.01366638917231779
360,9,0.02981916560297661,0.01208889903893632
370,9.25,0.0263771855063139,0.01069349614817165
380,9.5,0.02333250784069711,0.009459162451655624
390,9.75,0.02063927260191874,0.008367305981786892
400,10,0.01825691333502129,0.007401480812985965
